No,Headline,Body,link
1,"Ilan sa mga dumalo sa campaign rally ng Uniteam sa Bulacan, nawalan ng wallet at cellphone","ni Jasmin Joy Evangelista  |  March 9, 2022


Ilan sa mga dumalo sa campaign rally ni presidential aspirant Ferdinand “Bongbong” Marcos Jr. sa Sta. Maria, Bulacan ang umakyat sa stage upang ianunsiyo ang nawalang cellphone at wallet at nakiusap na maibalik ang mga ito.

Matapos ang rally noong Martes ng hapon, umakyat ang isang lalaki sa stage at nakiusap na maibalik ang kanyang cellphone.

""Parang awa niyo na po, pakisauli na lang po, babayaran ko po. Please lang po,"" pakiusap ng lalaki.

Umakyat din sa stage ang isang overseas Filipino worker upang ipanawagan ang Nawala niyang wallet. Sinabi nito na kailangan niya ang mga identification card na laman nito at ayos lang kahit hindi maibalik ang laman nitong pera.

""Hello po, sino po nakakita ng wallet? May OFW ID po 'yun, pakisauli na lang po... Kailangang-kailangan ko po 'yun, kahit hindi na sauli 'yung pera,"" aniya.

Sa ngayon ay wala pang pahayag ang kampo ni BBM hinggil sa insidente.",https://www.bulgaronline.com/post/ilan-sa-mga-dumalo-sa-campaign-rally-ng-uniteam-sa-bulacan-nawalan-ng-wallet-at-cellphone
2,"Pabor sa pagbabawal ni VP bet Sara Duterte… Ka Leody: Political caravan at motorcade, walang ambag","ni Jasmin Joy Evangelista  |  March 9, 2022


Pabor umano si presidential aspirant Ka Leody De Guzman na ipagbawal ang mga caravan at motorcade dahil wala itong naitutulong tungkol sa diskurso ng halalan.

Ito ay inihayag ni De Guzman matapos ipagbawal ni Davao City Mayor at VP bet Sara Duterte-Carpio ang lahat ng uri ng political caravan at motorcades sa Davao City dahil sa patuloy na pagtaas ng presyo ng langis.

“Ang mga campaign caravan at/o motorcade ay maaksaya at mas nagagamit pang-bandwagon ng mapeperang kandidato,” pahayag ng labor leader.

“Higit pa dyan, walang naiaambag ang mga ito para itaas ang diskurso ng halalan. Sangayon ako na ang mga ganitong aktibidad ay di na dapat pahintulutan,” dagdag niya.

Sinabi rin ni De Guzman na mas mainam kung mismong ang Commission on Elections (Comelec) ang gagawa ng polisiya hinggil dito.

“Mas mainam kung ito ay isasapatakaran ng Comelec at umpisahan na ang mga reporma sa halalan katulad ng sentralisadong pangangampanya na kung saan ang pagpapakilala at pagpapalaganap ng plataporma ng mga kandidato ay di nakabatay sa sariling kakayahang gumastos ng kandidato kundi ay pondohan ito ng estado at pantay na gagawin para sa lahat ng kandidato,” aniya pa.",https://www.bulgaronline.com/post/mga-political-caravan-at-motorcade-maaksaya-walang-ambag-ka-leody
3,LTFRB muling binuksan ang interregional provincial bus routes,"ni Jasmin Joy Evangelista  |  March 9, 2022


Balik-operasyon na ang Provincial Public Utility Buses (PUBs) sa Inter-regional Routes, ayon sa Land Transportation Franchising and Regulatory Board (LTFRB) nitong Martes.

Sa inilabas na Memorandum Circular No. 2022-023, sinabi ng LTFRB na lahat ng PUB operators na may valid Certificate of Public Convenience (CPC), Provisional Authority (PA), at Special Permits ay papayagan nang magbalik-operasyon at gumamit ng designated end-point terminals papunta at palabas ng Metro Manila.

Ang mga expired na ang CPC pero nakapag-file ng Application for Extension of Validity bago ang expiration nito, ay papayagan na ring magbalik-operasyon sa mga nasabing ruta base sa Memorandum Circular No. 2022-023.

Sa pamamagitan nito, ang mga inter-regional routes kabilang ang provincial commuter routes na manggagaling sa Calabarzon ay papayagan nang magbalik sa orihinal nitong terminal — Araneta Bus Terminal, Cubao — via C5.

Gayunman, ang mga provincial commuter routes na may pre-COVID endpoints sa Buendia, Makati, Pasay, at Manila ay patuloy na magiging end-point ang Parañaque Integrated Terminal Exchange (PITX) kabilang ang mga manggagaling sa remote parts ng South Luzon tulad ng  Quezon, Mimaropa, at Bicol.

Puwede na ring magsakay at magbaba ng pasahero ang mga provincial buses mula Visayas at Mindanao na patungong Metro Manila sa Santa Rosa Integrated Terminal (SRIT).

Pinaalalahanan naman ng LTFRB ang mga PUB operators na siguruhing may QR Code ang bawat awtorisadong unit bago pa man ito ibiyahe. Ang QR code ay puwedeng i-download sa website ng LTFRB at i-print sa short bond paper (size 8.5 “× 11”) at ipaskil sa front windshield ng bus.

“Sa mga nais naman bumiyahe, paalala pong muli na kailangang sundin ang ating mga health and safety protocols para sa ligtas na byahe,” ayon pa sa LTFRB.",https://www.bulgaronline.com/post/ltfrb-muling-binuksan-ang-interregional-provincial-bus-routes
4,Covid vaccines na malapit nang ma-expire balak i-donate ng Pilipinas sa Myanmar at African countries,"ni Jasmin Joy Evangelista  |  March 9, 2022


Plano ng gobyerno na i-donate sa Myanmar at African countries ang mga COVID-19 vaccines na malapit nang ma-expire, ayon kay Health Undersecretary Myrna Cabotaje nitong Martes.

“We’re working continually with the Department of Foreign Affairs. We are looking at countries like Myanmar…Ang nagkukulang ng vaccines ngayon mga African countries,” ani Cabotaje sa isang press conference.

Ayon pa kay Cabotaje, ni-request na ng DOH sa mga regulatory departments ng mga manufacturers na habaan ang shelf life ng mga bakuna.

Sakaling i-extend ito ng mga manufacturer, ire-request ng DOH ang pag-apruba ng Food and Drug Administration (FDA).

“In terms of donating, kasi may mga..we have sufficient vaccines and some of their shelf life are nearing its expiry,” pahayag pa ni Cabotaje.

“Una, ang ginawa natin ay nag-request tayo sa mga regulatory department ng mga manufacturer kung pwedeng i-extend ‘yung shelf life. Tapos kung okay ‘yan, mag-request sa FDA para ma-approve ‘yan,” aniya.

As of March 6, 2022, nasa 69,164,769 first doses na ang naiturok habang 63,690,890 mga Pinoy naman ang fully vaccinated na. Nasa 10,554,093 booster doses naman ang na-administer na.",https://www.bulgaronline.com/post/covid-vaccines-na-malapit-nang-ma-expire-balak-i-donate-ng-pilipinas-sa-myanmar-at-african-countries
5,Kampo ni BBM wala raw alam sa pamamahagi ng food stub sa campaign rally sa Bulacan,"ni Jasmin Joy Evangelista  |  March 9, 2022


Itinanggi ng kampo ni presidential aspirant Bongbong Marcos na may kinalaman sila sa umano’y distribusyon ng stubs kapalit ng pagkain malapit sa venue ng kanilang campaign rally sa Guiguinto, Bulacan.

Ayon sa report ni Sandra Aguinaldo sa “24 Oras”, nakuhanan ng video ng isang reporter mula sa isang foreign news agency ang pagkakagulo ng mga tao malapit sa gate ng Guiguinto oval.

Sa kanyang mga tweet, sinabi ni Camille Elamia na ipinapalit ng mga tao ang kanilang stubs para sa pagkain. Ibinahagi rin niya ang larawan ng stub na may picture nina Marcos at running mate nito na si Sara Duterte.

""None at all. We have no idea,"" ani spokesman ni Marcos na si Atty. Vic Rodriguez nang tanungin kung mayroong alam sa naturang distribusyon ng food stubs. 

Sa ngayon ay wala pang komento sina Marcos at Duterte hinggil dito.",https://www.bulgaronline.com/post/kampo-ni-bbm-itinangging-may-kinalaman-sa-food-stub-distribution-sa-campaign-rally-sa-bulacan
6,"Deklarasyon ng state of economic emergency, pinag-aaralan – Malacañang","ni Lolet Abania  |  March 8, 2022


Posibleng magdeklara ng state of economic emergency sa bansa kaugnay sa epekto ng walang tigil na pagtataas ng produktong petrolyo at ng kasalukuyang sigalot sa pagitan ng Russia at Ukraine, ayon sa Malacañang ngayong Martes.

Sa Palace briefing, sinabi ni acting presidential spokesperson Martin Andanar na ang deklarasyon ng state of economic emergency ay kanilang pag-aaralan sa Office of the Executive Secretary.

“Ito ay masusing pag-aaralan ng Palasyo sa pamamagitan ng Office of the Executive Secretary,” sabi ni Andanar.

Ayon kay Andanar, ipinanukala na ng economic team ni Pangulong Rodrigo Duterte nitong Lunes ang tinatawag na government interventions para mapagaan ang epekto ng fuel price hikes at ang nangyayaring labanan ng Ukraine at Russia. 

Aniya, ang team ang mag-a-assess kung magiging sapat ito para tugunan ang isyu ng ekonomiya sa bansa.

Ayon din kay Andanar, maaaring magdulot ng isang “full-blown war” o “world war” kapag nagdeklara ng economic emergency.

Tinanong naman ang opisyal hinggil sa ispesipikong sitwasyon na magreresulta sa deklarasyon ng economic emergency.

Paliwanag ni  Andanar, “It will require the full Cabinet (members) and it will require the security cluster, the economic cluster to convene on this. And of course, the President will be the one who would chair this meeting…Well, it’s not yet happening.” 

Kinuwestiyon din siya kung papasok ba ang gobyerno sa tinatawag na energy resources sa Recto Bank para makatulong sa impact ng sinasabing krisis sa ekonomiya.

“It’s going to need the cooperation of our big private partners in this Republic. Alam mo naman na pagdating doon sa oil exploration, no one government can do this alone,” sabi ni Andanar.

“We need the expertise of other big businesses, expertise of other countries, nations that are used to the exploring of energy from the earth,” saad pa ng opisyal.",https://www.bulgaronline.com/post/deklarasyon-ng-state-of-economic-emergency-pinag-aaralan-malaca%C3%B1ang
7,"Flight instructor at student pilot, nakaligtas sa Cessna plane crash sa Davao Oriental","ni Lolet Abania  |  March 8, 2022


Isang flight instructor at isang student pilot ang nakaligtas sa naganap na pagbagsak ng Cessna plane sa Mati, Davao Oriental.

Sa ulat, nagsasagawa ng training flight ang mga ito nang mangyari ang insidente.

Agad namang rumesponde ang mga rescuers sa crash site subalit hindi nila natagpuan ang instructor at ang student pilot, ayon sa report nitong Lunes.

Gayunman, nang alamin ng mga awtoridad ang kalapit na mga ospital, nabatid nilang nakaligtas ang dalawa sa pagbagsak ng eroplano at nagpasyang sumailalim sa treatment.

Patuloy naman ang isinasagawang imbestigasyon ng mga awtoridad sa naging sanhi ng plane crash.",https://www.bulgaronline.com/post/flight-instructor-at-student-pilot-nakaligtas-sa-cessna-plane-crash-sa-davao-oriental
8,"‘Normal’ number coding scheme, balik na sa Marso 16 sa Makati City","ni Lolet Abania  |  March 8, 2022


Inanunsiyo ng lokal na pamahalaan ng Makati City na ang “normal” number coding scheme para sa mga sasakyan ay magpapatuloy na simula Marso 16, 2022.

“Please be informed that the normal number-coding scheme in Makati will resume starting March 16, 2022, from 7 a.m. to 7 p.m.,” ayon sa city government sa Facebook post nitong Lunes.

Exempted mula sa number coding scheme, ang mga sasakyan na mayroon o hawak na Senior Citizen Blu Card na mga drivers o passengers at iyong may official functions at medical emergencies na nakasaad sa Makati Traffic Code.

Gayunman, ayon sa Makati government, kapag mga holidays, ang number coding scheme ay awtomatikong inaalis.

Una nang sinabi ng Metropolitan Manila Development Authority (MMDA) na pinag-aaralan na nila ang posibleng expansion ng panghapon na number coding scheme sa National Capital Region (NCR), na nakatakda mula alas-5:00 ng hapon hanggang alas-8:00 ng gabi.

Ayon kay MMDA chairperson Romando Artes, kinokonsidera nilang magdagdag ng morning period sa number coding scheme na mula alas-7:00 ng umaga hanggang alas-9:00 ng umaga.",https://www.bulgaronline.com/post/normal-number-coding-scheme-balik-na-sa-marso-16-sa-makati-city
9,"Eroplano ng Cebu Pacific, ‘dumulas’ sa runway ng NAIA  ","ni Lolet Abania  |  March 8, 2022


Dumulas umano ang isang Cebu Pacific aircraft sa runway ng Ninoy Aquino International Airport (NAIA) pagkalapag nito sa paliparan sa Pasay City ngayong Martes.

Sa isang advisory, sinabi ng naturang carrier na ang kanilang CebGo flight DG 6112 Naga-Manila flight ay nagkaroon ng slight runway excursion pagsapit nito sa NAIA T3, bandang alas-11:45 ng umaga, oras sa  Manila.    

Ayon sa Cebu Pacific, ang nasabing eroplano ay na-towed na mula sa runway ilang saglit makalipas ang ala-1:00 ng hapon.

“All 42 passengers and four crew deplaned normally and are safe with no reported injuries,” sabi ng Cebu Pacific.

“The passengers are being looked after and cared for,” dagdag ng kumpanya.

Sinabi ng airline na patuloy silang magbibigay ng mga updates at mas maraming impormasyon hinggil dito.

“We are working on normalizing our operations as soon as possible,” saad ng Cebu Pacific.

Ayon naman sa Philippine Airlines sa hiwalay na advisory, dahil sa naganap na runway obstruction sa NAIA, “there will be delays in flight departures and arrivals.”

Naglabas din ang PAL ng mga flight departures na naka-hold:

   PR720 Manila - London
   PR5682 Manila - Dammam
   PR658 Manila - Dubai
   PR684 Manila - Doha

Habang ang mga sumusunod na flights na nakatakdang dumating sa Manila ay na-divert na sa Clark:

   PR592 Saigon - Manila
   PR2522 Cagayan de Oro - Manila
   PR2142 Iloilo - Manila

“We are seeking the patience and understanding of our passengers. We look forward to resuming flights once runway obstruction is cleared,” pahayag ng PAL.",https://www.bulgaronline.com/post/eroplano-ng-cebu-pacific-dumulas-sa-runway-ng-naia
10,"Public at private clinics, magbabakuna na rin kontra-COVID-19 – DOH","ni Lolet Abania  |  March 8, 2022


Plinaplano na ng gobyerno na palawigin ang mga vaccination sites sa bansa kung saan isasama na rin ang mga pampubliko at pampribadong klinika upang mas marami pang mga Pilipino ang mabakunahan kontra-COVID-19, ayon sa Department of Health (DOH). 

Sa isang interview ngayong Martes kay Secretary Francisco Duque III, sinabi nitong nakikipag-ugnayan na sila sa ngayon sa Philippine Medical Association hinggil sa inisyatibong ito bilang bahagi ng naunang inilunsad na “Resbakuna sa mga Botika” noong Enero.

“Kausap na namin ‘yung Philippine Medical Association. Isa sa mga stratehiya na aming ipapatupad itong mga klinika, both public at private na mga clinics, ay bubuksan na as vaccination sites,” ani Duque.

“Kung naalala ninyo, nu’ng dalawang linggo nakaraan o tatlong linggo, ay inilunsad natin ‘yung Resbakuna sa Botika. Ngayon, ine-expand na natin ‘yung access even sa mga clinics sa mga communities para sa gayon ay mas madaling mapuntahan ng sinumang gustong magpabakuna at makakatulong ito sa pagtaas ng vaccination coverage,” saad pa niya.

Ayon kay Duque, mayroong pitong botika at private clinics sa Metro Manila ang nag-participate sa pilot run nito noong Enero 20.

Una nang sinabi ni Deputy Chief Implementer Vince Dizon ng National Task Force Against (NTF) COVID-19 na ang “Resbakuna sa mga Botika” ay malugod na aasistihan ng mga local government units (LGUs) at ng DOH para magdagdag ng maraming personnel na magbabakuna laban sa viral disease. 

Aniya, makatutulong din ito para i-decentralize pa ang mga vaccinations sa halip na nakatuon lang sa malalaking vaccination sites sa partikular na mga lugar.",https://www.bulgaronline.com/post/public-at-private-clinics-magbabakuna-na-rin-kontra-covid-19-doh
