No.,headline,date,link
1,"Only Hours After Announcing Separation from Lisa Bonet, Actor Jason Momoa Photographed Holding Hands with SNL’s Pete Davidson","JANUARY 14, 2022",https://empirenews.net/only-hours-after-announcing-separation-from-lisa-bonet-actor-jason-momoa-photographed-holding-hands-with-snls-pete-davidson/
2,Gwyneth Paltrow’s Vagina-Scented Candle Is Reportedly Giving People Herpes in Their Nasal Passages,"JANUARY 25, 2020",https://empirenews.net/gwyneth-paltrows-vagina-scented-candle-is-reportedly-giving-people-herpes-in-their-nasal-passages/
3,"Gizmo Files Lawsuit Against Disney Over ‘Baby Yoda’, Claims Company Stole His Likeness","JANUARY 12, 2020",https://empirenews.net/gizmo-files-lawsuit-against-disney-over-baby-yoda-claims-company-stole-his-likeness/
4,Woman Gets Pregnant After Sleeping at Hotel With Dirty Sheets,"JUNE 30, 2019",https://empirenews.net/woman-gets-pregnant-after-sleeping-at-hotel-with-dirty-sheets/
5,Ringling Bros. Shuts Down Circus Event in Florida After Trapeze Artist Accidentally Defecates on Audience,"APRIL 30, 2019",https://empirenews.net/ringling-bros-shuts-down-circus-event-in-florida-after-trapeze-artist-accidentally-defecates-on-audience/
6,Man Arrested After Refusing To Leave Nude Beach After His Genitalia Size Scares Other Guests,"APRIL 30, 2019",https://empirenews.net/man-arrested-after-refusing-to-leave-nude-beach-after-his-genitalia-size-scares-other-guests/
7,Man Who Bought a Pair of Dentures on Shopping App WISH Can Suddenly Speak Chinese,"MARCH 31, 2019",https://empirenews.net/man-who-bought-a-pair-of-dentures-on-shopping-app-wish-can-suddenly-speak-chinese/
8,"Man In Coma For 26 Years Wakes Up, Decides To Be Medically Induced For An Extra Year So He’ll Be Eligible For Retirement","MARCH 31, 2019",https://empirenews.net/man-in-coma-for-26-years-wakes-up-decides-to-be-medically-induced-for-an-extra-year-so-hell-be-eligible-for-retirement/
9,"Man Buys Over $10,000 Worth of Girl Scout Cookies, Dies Trying to Eat Them All Himself","FEBRUARY 28, 2019",https://empirenews.net/man-buys-over-10000-worth-of-girl-scout-cookies-dies-trying-to-eat-them-all-himself/
10,"For The First Time In The History of Man, No Babies Were Born and No Living People Died On February 27th, 2019","FEBRUARY 28, 2019",https://empirenews.net/for-the-first-time-in-the-history-of-man-no-babies-were-born-and-no-living-people-died-on-february-27th-2019/
11,9th Grade Class in Alabama Performs Suicide Pact After Watching ‘Momo’ Video Online,"FEBRUARY 28, 2019",https://empirenews.net/9th-grade-class-in-alabama-performs-suicide-pact-after-watching-momo-video-online/
12,Florida Man Arrested After Authorities Find 29 Mutilated Bodies Under His Porch,"JANUARY 31, 2019",https://empirenews.net/florida-man-arrested-after-authorities-find-29-mutilated-bodies-under-his-porch/
13,Want Your Baby To Have Beautiful Green Eyes? Eat Your Boogers During Pregnancy,"JANUARY 31, 2019",https://empirenews.net/want-your-baby-to-have-beautiful-green-eyes-eat-your-boogers-during-pregnancy/
14,"After Record Number of Children Disappear, Man Arrested With 47 Kids Found Locked In His Basement","OCTOBER 31, 2018",https://empirenews.net/after-record-number-of-children-disappear-man-arrested-with-47-kids-found-locked-in-his-basement/
15,Police Officer in Australia Was Beaten and Raped By a Wild Kangaroo,"SEPTEMBER 30, 2018",https://empirenews.net/police-officer-in-australia-was-beaten-and-raped-by-a-wild-kangaroo/
16,"Man Taken Into Custody After Telling Bar Patrons He Was WWE’s ‘The Undertaker,’ Tried To Tombstone The Bouncer","JUNE 30, 2018",https://empirenews.net/man-taken-into-custody-after-telling-bar-patrons-he-was-wwes-the-undertaker-tried-to-tombstone-the-bouncer/
17,Florida Millionaire Arrested After Authorities Discover Over 700 Bodies Buried In His Backyard,"JUNE 30, 2018",https://empirenews.net/florida-millionaire-arrested-after-authorities-discover-over-700-bodies-buried-in-his-backyard/
18,MTV Announces Drastic Programming Change – They’re Going Back to Music Videos!,"JUNE 30, 2018",https://empirenews.net/mtv-announces-drastic-programming-change-theyre-going-back-to-music-videos/
19,Man Dies After Being Bitten by Daddy Long Legs,"JUNE 30, 2018",https://empirenews.net/man-dies-after-being-bitten-by-daddy-long-legs/
20,"Michael Jackson’s Father, Joe Jackson, Reported Dead…Again","JUNE 27, 2018",https://empirenews.net/michael-jacksons-father-joe-jackson-reported-dead-again/
21,Donald Trump Offers Roseanne a Job In The White House After Her Recent Firing From ABC,"MAY 31, 2018",https://empirenews.net/donald-trump-offers-roseanne-a-job-in-the-white-house-after-her-recent-firing-from-abc/
22,"Harvey Weinstein Reportedly Attacked, Raped in Prison While Awaiting Sentencing","MAY 31, 2018",https://empirenews.net/harvey-weinstein-reportedly-attacked-raped-in-prison-while-awaiting-sentencing/
23,Roseanne Just Filed a Lawsuit Against George Soros Over The Cancellation of Her Show,"MAY 31, 2018",https://empirenews.net/roseanne-just-filed-a-lawsuit-against-george-soros-over-the-cancellation-of-her-show/
24,Hollywood Desperate To Find Actor Who Hasn’t Sexually Assaulted Anyone,"MAY 30, 2018",https://empirenews.net/hollywood-desperate-to-find-actor-who-hasnt-sexually-assaulted-anyone/
25,Netflix Announces Plans to Pick Up Cancelled ‘Roseanne’ Show – ‘We Don’t Care If She’s a Racist Pig’,"MAY 30, 2018",https://empirenews.net/netflix-announces-plans-to-pick-up-cancelled-roseanne-show-we-dont-care-if-shes-a-racist-pig/
26,Retirement Home Shut Down After FBI Raid Over Underground Fight Club,"MAY 28, 2018",https://empirenews.net/retirement-home-shut-down-after-fbi-raid-over-underground-fight-club/
27,President Trump Says He Will ‘Completely Pardon’ Bill Cosby After His Sentencing,"APRIL 30, 2018",https://empirenews.net/president-trump-says-he-will-completely-pardon-bill-cosby-after-his-sentencing/
28,Mother Arrested After Accidentally Tickling Her 3-Year-Old To Death,"APRIL 28, 2018",https://empirenews.net/mother-arrested-after-accidentally-tickling-her-3-year-old-to-death/
29,BREAKING: Bill Cosby Found Dead in His Home After Reportedly Taking His Entire Stash of Roofies,"APRIL 27, 2018",https://empirenews.net/breaking-bill-cosby-found-dead-in-his-home-after-reportedly-taking-his-entire-stash-of-roofies/
30,Bill Cosby In Critical Condition After Being Attacked By Woman He Raped 35 Years Ago,"MARCH 31, 2018",https://empirenews.net/bill-cosby-in-critical-condition-after-being-attacked-by-woman-he-raped-35-years-ago/
31,400+ Pound Woman Arrested After She Smothers Skinny Boyfriend During Sex,"MARCH 31, 2018",https://empirenews.net/400-pound-woman-arrested-after-she-smothers-skinny-boyfriend-during-sex/
32,President Trump Will Appear on Episode of New Season of ‘Roseanne’,"MARCH 29, 2018",https://empirenews.net/president-trump-will-appear-on-episode-of-new-season-of-roseanne/
33,"Man Born With Type 1 Diabetes Purposely Gains 300 Pounds To Contract Type 2, ‘Even Himself Out’","MARCH 28, 2018",https://empirenews.net/man-born-with-type-1-diabetes-purposely-gains-300-pounds-to-contract-type-2-even-himself-out/
34,Melania Trump Signs $12 Million Deal With Brazzers To Star In Series of Adult Videos,"MARCH 27, 2018",https://empirenews.net/melania-trump-signs-12-million-deal-with-brazzers-to-star-in-series-of-adult-videos/
35,World’s Oldest Woman – Who Drank a Glass of Formaldehyde Every Day For 60 Years – Dies At Age 187,"FEBRUARY 28, 2018",https://empirenews.net/worlds-oldest-woman-who-drank-a-glass-of-formaldehyde-every-day-for-60-years-dies-at-age-187/
36,Vin Diesel Hospitalized After On-Set Fight With Dwayne ‘The Rock’ Johnson While Filming New ‘Fast & Furious’ Movie,"FEBRUARY 28, 2018",https://empirenews.net/vin-diesel-hospitalized-after-on-set-fight-with-dwayne-the-rock-johnson-while-filming-new-fast-furious-movie/
37,Man Claims He Was Possessed By The Devil After Watching New Horror Movie,"FEBRUARY 26, 2018",https://empirenews.net/man-claims-he-was-possessed-by-the-devil-after-watching-new-horror-movie/
38,Spongebob Squarepants Scheduled for Cancellation in October,"FEBRUARY 25, 2018",https://empirenews.net/spongebob-squarepants-scheduled-for-cancellation-in-october/
39,57-Year-Old Virgin Sues His Former Middle School For Teaching Abstinence,"JANUARY 31, 2018",https://empirenews.net/57-year-old-virgin-sues-his-former-middle-school-for-teaching-abstinence/
40,Old Juggalo Says He’s Worried About The Future Generation of Lil’ Juggalos,"JANUARY 31, 2018",https://empirenews.net/old-juggalo-says-hes-worried-about-the-future-generation-of-lil-juggalos/
41,Justin Bieber Signs $2M Porn Deal With Brazzers,"JANUARY 31, 2018",https://empirenews.net/justin-bieber-signs-2m-porn-deal-with-brazzers/
42,"Teen Dies After Letting Rabid Bat Bite Him, Thought He’d Turn Into a Vampire","JANUARY 31, 2018",https://empirenews.net/teen-dies-after-letting-rabid-bat-bite-him-thought-hed-turn-into-a-vampire/
43,President Trump Will Appear in WWE Royal Rumble Tonight,"JANUARY 28, 2018",https://empirenews.net/president-trump-will-appear-in-wwe-royal-rumble-tonight/
44,Tom Hanks’ ‘Cast Away’ Co-Star Alleges Sexual Abuse During Filming,"JANUARY 27, 2018",https://empirenews.net/tom-hanks-cast-away-co-star-alleges-sexual-abuse-during-filming/
45,"White College Prof. Tries To Prove There’s No Racial Bias By Police, Undergoes Surgery To Look Black – He’s Instantly Shot and Arrested","DECEMBER 31, 2017",https://empirenews.net/white-college-prof-tries-to-prove-theres-no-racial-bias-by-police-undergoes-surgery-to-look-black-hes-instantly-shot-and-arrested/
46,New Husband Files For Divorce After Discovering His ‘Wife’ Is Actually a Man,"DECEMBER 29, 2017",https://empirenews.net/new-husband-files-for-divorce-after-discovering-his-wife-is-actually-a-man/
47,"Nearly 1,000 People Have Gone Missing After Last Weekend’s Mysterious ‘Flying Object’ Seen Throughout East Coast","DECEMBER 29, 2017",https://empirenews.net/nearly-1000-people-have-gone-missing-after-last-weekends-mysterious-flying-object-seen-throughout-east-coast/
48,Man In Alabama Uses Legal Loophole To Marry Baby,"DECEMBER 23, 2017",https://empirenews.net/man-in-alabama-uses-legal-loophole-to-marry-baby/
49,Man Arrested For Peeping Into Third Story Apartment Window To Watch Couple Have Sex,"NOVEMBER 30, 2017",https://empirenews.net/man-arrested-for-peeping-into-third-story-apartment-window-to-watch-couple-have-sex/
50,Man Born With Two Penises Is Suing The Government So He Can Marry Two Women,"NOVEMBER 30, 2017",https://empirenews.net/man-born-with-two-penises-is-suing-the-government-so-he-can-marry-two-women/
51,Couple Arrested After Police Discover Over 20 Thousands Pounds of Marijuana in Home,"OCTOBER 31, 2017",https://empirenews.net/couple-arrested-after-police-discover-over-20-thousands-pounds-of-marijuana-in-home/
52,8-Month-Old Baby Gets Pregnant After Getting Routine Vaccine,"OCTOBER 25, 2017",https://empirenews.net/8-month-old-baby-gets-pregnant-after-getting-routine-vaccine/
53,"Harvey Weinstein Put Into Witness Protection After Reportedly Ratting on Sex Offenders, Pedophiles to FBI","OCTOBER 22, 2017",https://empirenews.net/harvey-weinstein-put-into-witness-protection-after-reportedly-ratting-on-sex-offenders-pedophiles-to-fbi/
54,Haunted House in Maine Shut Down After Bodies Inside Discovered To Be REAL,"OCTOBER 19, 2017",https://empirenews.net/haunted-house-in-maine-shut-down-after-bodies-inside-discovered-to-be-real/
55,Major Hollywood Actress Comes Forward With Shocking Revelation: ‘I’ve Never Been Raped’,"OCTOBER 16, 2017",https://empirenews.net/major-hollywood-actress-comes-forward-with-shocking-revelation-ive-never-been-raped/
56,"Hugh Hefner’s Penis To Be Gold Plated, Placed on Display at Smithsonian Museum","SEPTEMBER 30, 2017",https://empirenews.net/hugh-hefners-penis-to-be-gold-plated-placed-on-display-at-smithsonian-museum/
57,Man Dressed as Clown Arrested After He Was Found Eating a Live Cat,"SEPTEMBER 30, 2017",https://empirenews.net/man-dressed-as-clown-arrested-after-he-was-found-eating-a-live-cat/
58,Ohio Woman Kills Alligator Using Only a Plastic Butter Knife,"SEPTEMBER 29, 2017",https://empirenews.net/ohio-woman-kills-alligator-using-only-a-plastic-butter-knife/
59,Netflix Buys Illegal Torrent Downloading Website The Pirate Bay,"SEPTEMBER 29, 2017",https://empirenews.net/netflix-buys-illegal-torrent-downloading-website-the-pirate-bay/
60,Moviegoers Burn Down Theatre After Showing of Controversial Film That Portrays Jesus Christ as Gay,"SEPTEMBER 28, 2017",https://empirenews.net/moviegoers-burn-down-theatre-after-showing-of-controversial-film-that-portrays-jesus-christ-as-gay/
61,"Whoopi Goldberg Says She Had ‘Torrid, Sexual Affair’ With Dinosaur During Filming of 1995 Movie","AUGUST 31, 2017",https://empirenews.net/whoopi-goldberg-says-she-had-torrid-sexual-affair-with-dinosaur-during-filming-of-1995-movie/
62,"A Riot In Nursing Home Leaves Dozens With Broken Hips, Police Are Still Investigating","AUGUST 31, 2017",https://empirenews.net/a-riot-in-nursing-home-leaves-dozens-with-broken-hips-police-are-still-investigating/
63,Prehistoric Fish Are Showing Up in Flooded Homes in Texas,"AUGUST 29, 2017",https://empirenews.net/prehistoric-fish-are-showing-up-in-flooded-homes-in-texas/
64,"Chinese Fidget Spinner Bursts Into Flames, Kills Toddler In Her Sleep","AUGUST 29, 2017",https://empirenews.net/chinese-fidget-spinner-bursts-into-flames-kills-toddler-in-her-sleep/
65,Man Dies After Holding in Farts While Visiting With Girlfriend’s Parents,"AUGUST 28, 2017",https://empirenews.net/man-dies-after-holding-in-farts-while-visiting-with-girlfriends-parents/
66,Hurricane Harvey Winds Carry Trailer Over 100 Miles – With the Family Still Inside!,"AUGUST 28, 2017",https://empirenews.net/hurricane-harvey-winds-carry-trailer-over-100-miles-with-the-family-still-inside/
67,"Cailtlyn Jenner Says She Is ‘Bored’ Being a Woman, Plans On Transitioning Back to Being ‘Bruce’","JULY 31, 2017",https://empirenews.net/cailtlyn-jenner-says-she-is-bored-being-a-woman-plans-on-transitioning-back-to-being-bruce/
68,Pastry Chef Accidentally Bakes Bachelor Cake With Stripper Inside,"JULY 31, 2017",https://empirenews.net/pastry-chef-accidentally-bakes-bachelor-cake-with-stripper-inside/
69,President Trump Has Invited O.J. Simpson To Visit The White House Upon His Release – You Won’t Believe Why!,"JULY 31, 2017",https://empirenews.net/president-trump-has-invited-o-j-simpson-to-visit-the-white-house-upon-his-release-you-wont-believe-why/
70,Police On The Hunt For ‘Scary Clown’ That Was Filmed Killing Young Girl,"JULY 29, 2017",https://empirenews.net/police-on-the-hunt-for-scary-clown-that-was-filmed-killing-young-girl/
71,‘World’s Ugliest Man’ Holds Guinness World Record For Most Sexual Partners,"JULY 29, 2017",https://empirenews.net/worlds-ugliest-man-holds-guinness-world-record-for-most-sexual-partners/
72,Beyoncé and Jay-Z Announce Birth of Sextuplets,"JUNE 27, 2017",https://empirenews.net/beyonce-and-jay-z-announce-birth-of-sextuplets/
73,Woman Gives Birth 7 Years After Having Sex,"JUNE 27, 2017",https://empirenews.net/woman-gives-birth-7-years-after-having-sex/
74,3-Month-Old Baby Arrested For Breaking Priceless Artifact at History Museum,"JUNE 21, 2017",https://empirenews.net/3-month-old-baby-arrested-for-breaking-priceless-artifact-at-history-museum/
75,BREAKING: OJ Simpson Reportedly Killed In Prison,"JUNE 21, 2017",https://empirenews.net/breaking-oj-simpson-reportedly-killed-in-prison/
76,Dwayne ‘The Rock’ Johnson FINALLY Announces Official Bid For President in 2020,"MAY 31, 2017",https://empirenews.net/dwayne-the-rock-johnson-finally-announces-official-bid-for-president-in-2020/
77,Disney Plans Reboot of Star Wars: The Force Awakens,"MAY 31, 2017",https://empirenews.net/disney-plans-reboot-of-star-wars-the-force-awakens/
78,Rock Concert In Maine Now Holds World Record For ‘Most Overdoses At a Public Event’,"MAY 31, 2017",https://empirenews.net/rock-concert-in-maine-now-holds-world-record-for-most-overdoses-at-a-public-event/
79,DISTURBING Trend On The Rise Among ‘Goth’ Teens – Snorting Blood!,"MAY 31, 2017",https://empirenews.net/disturbing-trend-on-the-rise-among-goth-teens-snorting-blood/
80,Babysitter Facing 65 Years in Prison For Inserting Toddler Into Her Vagina,"MAY 28, 2017",https://empirenews.net/babysitter-facing-65-years-in-prison-for-inserting-toddler-into-her-vagina/
81,Man Hospitalized After Getting Fidget Spinner Lodged in His Rectum For 37th Time,"MAY 28, 2017",https://empirenews.net/man-hospitalized-after-getting-fidget-spinner-lodged-in-his-rectum-for-37th-time/
82,"Ship Lost in Bermuda Triangle 90 YEARS Ago Sails Into Cuban Harbor, Coast Guard Confirms","MAY 25, 2017",https://empirenews.net/ship-lost-in-bermuda-triangle-90-years-ago-sails-into-cuban-harbor-coast-guard-confirms/
83,17 Children Are DEAD After a Fight Breaks Out in Middle School Over Fidget Spinners,"MAY 24, 2017",https://empirenews.net/17-children-are-dead-after-a-fight-breaks-out-in-middle-school-over-fidget-spinners/
