No.,headline,body,label
2,HINDI TOTOO: Tagapayo nina Leni Robredo at Barry Gutierrez si Joma Sison,"Tagapayo ni Bise Presidente Leni Robredo at ng kanyang opisyal na tagapagsalita na si Barry Gutierrez si Jose Maria “Joma” Sison, ang nagpatayo ng Communist Party of the Philippines (CPP). ",False
3,HINDI TOTOO: Retrato ni Robredo at James Jimenez senyal ng pandaraya sa eleksiyon,Senyal ng balak na pandaraya sa paparating na eleksiyon ang isang retrato nina Bise Presidente Leni Robredo at Commission on Elections (Comelec) Spokesperson James Jimenez.,False
4,SATIRE: Gwen Garcia bans mass gatherings in Cebu,Cebu Governor Gwendolyn Garcia has prohibited mass gatherings in the whole province starting April 22 until June 2022.,False
5,"HINDI TOTOO: Dahil sa EDSA 1986, napabayaan ang mga pambansang unibersidad","Nang dahil sa pagkilos noong EDSA 1986 o People Power Revolution, napabayaan ang mga pambansang unibersidad at nalaglag ang mga ito sa listahan ng mga pinakatanyag sa buong mundo.",False
6,HINDI TOTOO: Kinopya ng South Korea at Singapore ang economic blueprint ni Marcos,Kinopya ng South Korea at Singapore ang economic blueprint ni dating pangulong Ferdinand Marcos.,False
7,HINDI TOTOO: Bilang ng mga gobernador na nag-endoso kay Marcos Jr.,90% o 73 ng 81 ng gobernador sa bansa ang nag-endoso kay Ferdinand “Bongbong” Marcos Jr. para sa pagkapangulo. ,False
8,FALSE: Hera Nano Curcumin Milk is curative for several gastrointestinal diseases,Hera Nano Curcumin Milk is curative for several gastrointestinal diseases. ,False
9,HINDI TOTOO: Nagpapatuloy ang mga political dynasty dahil sa 1987 Constitution,Nagpapatuloy ang mga political dynasty dahil sa 1987 Constitution.,False
10,HINDI TOTOO: May utang na back taxes ang Hacienda Luisita,May utang na back taxes ang Hacienda Luisita na nagkakahalaga ng P14.7 bilyon.,False
11,HINDI TOTOO: Si Kiko Pangilinan ang sumulat ng Rice Tariffication Law,Si Senador Kiko Pangilinan ang gumawa ng Rice Tariffication Law kaya peke ang pag-iyak niya tungkol sa epekto nito sa mga magsasaka.,False
12,HINDI TOTOO: Nakalulusot ang mga batang gumagawa ng krimen dahil sa batas na isinulong ni Pangilinan,Hindi naparurusahan ang mga batang gumagawa ng malubhang krimen dahil sa Juvenile Justice and Welfare Act na isinulong ni Senador Francis “Kiko” Pangilinan. ,False
13,"FALSE: Bo Phoi Tritydo cures lung diseases, such as pneumonia and bronchitis","Bo Phoi Tritydo cures lung diseases, such as pneumonia and bronchitis.",False
14,HINDI TOTOO: Tumigil ang pagpatay sa mga katutubo nang maitatag ang NTF-ELCAC,Tumigil na ang pagpaslang sa mga katutubo nang maitatag ang National Task Force to End Local Communist Armed Conflict (NTF-ELCAC).,False
15,HINDI TOTOO: Litrato ng Poong Nazareno na ginawang ‘kakampink’,Sinuotan ng kulay pink na damit ang imahe ng Poong Nazareno upang magmukhang tagasuporta ni Bise Presidente Leni Robredo.,False
16,HINDI TOTOO: Bilang ng mga bumoto kay Marcos Jr. sa Saudi Arabia,Isang milyong overseas absentee voters ang bumoto kay Ferdinand “Bongbong” Marcos Jr. sa Saudi Arabia.  ,False
17,MANIPULADONG VIDEO: Ipinangako ni Robredo ang isang pamahalaang korap,Sinabi ni Bise Presidente Leni Robredo na ipinapangako nila ni Senador Kiko Pangilinan ang isang pamahalaan na korap.,False
18,MANIPULADONG VIDEO: Sumayaw si Robredo sa himig ng ‘Dayang Daya’,Sumayaw si Bise Presidente Leni Robredo ng “Dayang Daya” ni Yoyoy Villame habang nangangampanya sa Occidental Mindoro – pahiwatig umano na may balak itong mandaya sa eleksiyon.,False
19,MANIPULADONG VIDEO: Sinupalpal ni Xiao Chua si Cheryl Cosim sa isang interbiyu,Sinupalpal ng historyador na si Xiao Chua ang mamamahayag na si Cheryl Cosim dahil sa kawalan nito ng kaalaman sa historical development.,False
20,HINDI TOTOO: Sinabi ni Robredo na magkakagulo kung siya’y matalo sa eleksiyon,Nagpahayag si Bise Presidente Leni Robredo na magkakagulo kung siya ay matalo ngayon sa presidential election.,False
21,HINDI TOTOO: Nagrerekrut ang ACT Teachers Party-List para sa CPP-NPA-NDF,"Mismong mga guro na miyembro ng ACT Teachers Party-List ang nagrerekrut sa kanilang mga estudyante para maging miyembro ng Communist Party of the Philippines, New People’s Army, at National Democratic Front (CPP-NPA-NDF).",False
22,"HINDI TOTOO: Mayorya ng mga alkalde ang sumusuporta kina Marcos-Duterte, ayon sa Pulse Asia","Sa 1,480 na mga alkalde sa bansa, 1,200 ang sumusuporta sa tambalan nina Ferdinand “Bongbong” Marcos Jr. at Sara Duterte sa pagkapresidente at bise presidente, ayon sa Pulse Asia.",False
23,HINDI TOTOO:  Biktima lamang si Palparan ng kampanya ng communist party,"Biktima lamang ng kampanya ng Communist Party of the Philippines (CPP) si Jovito Palparan, retiradong heneral ng Philippine Army, kaya nakabilanggo.",False
24,HINDI TOTOO: Hinangaan ni Vladimir Putin si Duterte,"Humanga umano si Vladimir Putin, presidente ng Russia, sa naging talumpati ni Pangulong Rodrigo Duterte.",False
25,HINDI TOTOO: Suportado nina Piolo Pascual at JC de Vera ang Uniteam,Sinusuportahan ng mga aktor na sina Piolo Pascual at JC de Vera ang presidential-vice presidential tandem nina Ferdinand “Bongbong” Marcos Jr. at Davao City Mayor Sara Duterte.,False
26,"HINDI TOTOO: Bilang ng bumoto kay Marcos sa HK noong Abril 10, ayon sa exit poll","Batay sa exit poll, nakakalap ng 3,780 na boto si Ferdinand “Bongbong” Marcos Jr. sa Hong Kong noong Abril 10, unang araw ng overseas voting para sa 2022 elections.",False
27,"HINDI TOTOO: Dating pambansang wika ang Ilokano, kaya ibabalik ni Marcos Jr.","Sa proclamation rally sa Laoag City, Ilocos Norte, noong Marso 2022, ipinangako ni Ferdinand “Bongbong” Marcos Jr. ang pagbabalik ng Ilokano bilang “national language” kapag nahalal siya bilang presidente ng bansa – pagpapahiwatig na minsan na itong naging pambansang wika. ",False
28,HINDI TOTOO: Sinabi ni Robredo na dapat handang ikamatay ng libo-libong sundalo ang Scarborough Shoal,Sinabi ni Bise Presidente Leni Robredo na dapat handang ikamatay ng libo-libong sundalo ang Scarborough Shoal. ,False
29,HINDI TOTOO: Si Ferdinand Marcos ang nagpagawa ng mga circumferential road,Si Ferdinand Marcos ang nagpagawa ng mga circumferential road.,False
30,HINDI TOTOO: Palabas lang ang paglikas ng mga Lumad mula sa Mindanao,Palabas lang ng Communist Party of the Philippines at New People’s Army (CPP-NPA) ang umano’y panliligalig sa mga Lumad at paglikas nila mula sa mga komunidad sa Mindanao para magmukhang masama ang gobyerno.,False
31,HINDI TOTOO: Isa sa pinakamayamang Filipino si Ferdinand Marcos bago siya naging pulitiko,Isa sa pinakamayamang Filipino si Ferdinand Marcos bago pa man ito pumasok sa pulitika.,False
32,FALSE: COVID-19 vaccination has no benefits for children,COVID-19 vaccination has no benefits for children.,False
33,FALSE: Moderna created the coronavirus and inserted HIV into it,Moderna created the coronavirus and inserted HIV into it.,False
34,HINDI TOTOO: Ipinagbawal ni Ferdinand Marcos ang child labor,Ipinagbawal ng diktador na si Ferdinand Marcos ang “child labor” sa kaniyang termino.,False
35,HINDI TOTOO: Ang asawa ni Marcos Jr. ay miyembro ng New York State Bar Association,Ang asawa ni Ferdinand “Bongbong” Marcos Jr. na si Marie Louise Araneta-Marcos ay miyembro ng New York State Bar Association.,False
36,HINDI TOTOO: Pasekretong inendoso ni Leody de Guzman si Marcos Jr.,Pasekretong ineendorso ni Ka Leody de Guzman si Ferdinand “Bongbong” Marcos Jr. dahil sumesenyas siya ng “peace sign” at nakasuot ng pulang t-shirt sa isang bidyo.,False
37,HINDI TOTOO: Matagumpay ang COVID-19 vaccination dahil sa mabuting relasyon ni Duterte sa China at Russia,"Ang mabuting relasyon ni Pangulong Rodrigo Duterte sa China at Russia ang dahilan kung bakit naging matagumpay ang pagbabakuna ng Pilipinas laban sa COVID-19. Nalagpasan na ng bansa ang kakayahan sa pagbabakuna ng Vietnam, Indonesia, Malaysia, at kahit na ang Singapore. ",False
38,HINDI TOTOO: Hindi banta sa buhay ang ‘red-tagging’,Hindi totoong banta sa buhay ang sinasabing red-tagging. Ginagamit lang ang naturang termino ng front organizations ng Communist Party of the Philippines-New People’s Army-National Democratic Front (CPP-NPA-NDF) upang patahimikin ang mga nagsasalita laban sa kanila. ,False
39,HINDI TOTOO: Sertipiko ng gold bullion deposit ni Marcos sa Banco de Oro,May sertipiko ng deposito ng gold bullion ang yumaong diktator na si Ferdinand Marcos sa Banco De Oro Unibank.,False
40,FALSE: Palparan did not get media attention in prison before SMNI interview,"Convicted kidnapper general Jovito Palparan did not get media attention in prison before the SMNI interview aired on March 30, 2022.",False
41,HINDI TOTOO: Tinutulan ni Robredo ang pagpapatayo ng Philippine Arena,Nagpahayag si Bise Presidente Leni Robredo ng pagtutol sa pagpapatayo ng Philippine Arena.,False
42,HINDI TOTOO: Inosente ang mga Marcos dahil napawalang-sala si Imelda,Ang acquittal ni dating first lady Imelda Marcos ay pagpapatunay na inosente ang kanilang pamilya sa mga kaso ng pagnanakaw sa kaban ng bayan. ,False
43,HINDI TOTOO: Hindi pinaimbestigahan ni Cory Aquino ang pagkamatay ng asawang si Ninoy,Hindi pinaimbestigahan ni Corazon Aquino nang naging pangulo siya ang pagkamatay ng kanyang asawa at kilalang lider ng oposisyon na si Benigno “Ninoy” Aquino Jr. ,False
44,"KULANG SA KONTEKSTO: Sabi ng BIR, hindi kailangang bayaran ng mga Marcos ang P203B na estate tax","Ayon sa Bureau of Internal Revenue (BIR), hindi kailangang bayaran ng mga Marcos ang P203 bilyon na estate tax.",False
